59;Erling Haaland;31;NULL;NULL;NULL;25;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0GO-iVVQfOZI7MTL9MA8Vasus1Rjs1jHstYKrKk_nuBogEEQh69W8ST8N-YA&s
60;Fabio Quagliarella;34;75;75;75;75;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbZtPS-Q52KpqqNY-qozmt6Kkkh9U2UDlVvsnQ-wP2Fct6vjCrlZlhuph017Q&s
61;Falcao;30;NULL;NULL;33;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5cBq7MubVQxhnbEXixD4452H1KNGTvLHghJloKidt8qs7xZhyQGcOM-nU-OU&s
62;Fernando Llorente;28;63;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLsX5Z6b5CIsr1-r5QfhmXCeYsfZkysHOo2CdKf3kNNjIo28RMufLSbjGfKg&s
63;Fin Bartels;30;38;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVquyd2Qjhnmcr1GTQkerXZ7OhpIgbSQP9xYv_MoghfoLyKWNOD6QOlJefFw&s
64;Florian Niederlechner;28;30;NULL;NULL;30;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZcyd2hOei7DRhROEukPawumJHFEvhskzICzaLxrrRY9I4wWie5j46WeAP2ww&s
65;Florian Thauvin;20;NULL;NULL;57;NULL;57;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSU5GCSu8we1iD6VmHEzBZ-UiEnSjp68nogqwfbGy4ZEDWytMzWjEuomFRQ-s&s
66;Florin Andone;29;74;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOUyVczbggUk_oe3-Y5xnJ5ydx-YHLpUiES3BAcD_1oLQMxkYHkIshg5x7bA&s
67;Francesco Caputo;21;NULL;NULL;76;76;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR096qIXH4_IlqqLBE3jUsYXTk9bbYOCle_p7XBeZvw16XtPhXRmMwMibcz0w&s
68;Francois Kamano;25;NULL;NULL;54;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmDbW3Ivyc9e0-yiWU66aOMusR1S9TOIjnq6uJg7YzSFZC7T0oq4r-kHCnGUA&s
69;Gabriel Jesus;20;NULL;NULL;NULL;58;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRL6O2PKYVLUxht_Oywhe9TlrpC9VGny8UgaIS95ZJl2xRW6dnYfeNESjamW_Y&s
70;Gael Kakuta;29;NULL;NULL;NULL;NULL;50;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZMSveQUH4FPb4A5NhKRAxSVGpN48urV49O_msyUw9SR55Qn0uibVsA0FcKRc&s
71;Gaetan Laborde;30;NULL;NULL;61;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZW3dQesL79W6SlVVg6BE6j9RZpSvFODjP7QFVu3_Gr_fkLN6sUxPht5Bjsw&s
72;Gareth Bale;25;NULL;88;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6Q58gVEHrSqP4pEFEJoMej9gIo1O5l4-YAslfiakdN4FszJ8RNcKJEOUikA&s
73;Gerard Moreno;30;94;94;NULL;94;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCvv4vb0BfRDPcuHBIy_yJv45XiUD9Kw_uxUJrj4ul0NLAAriLVPPxLP9sGA&s
74;Gervinho;21;NULL;NULL;68;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSrv5MiUhgS1XeFMS6ISblElSAvlsNxFhr0J4KzLNWPS2_Kr9QEYWPJnv8HA&s
75;Gianluca Lapadula;23;NULL;NULL;NULL;9;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNy5x9mi09X8JloiM-3YYkfzJqD9r7A3sDiKjO7gASCc2O8SmtOOkEzUPLl_w&s
76;Giovanni Simeone;20;19;19;NULL;19;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYkRqoWC-11nzLUvzoTSpThSS_-312gbSOfbP92dp5flNXqm2UzdchW8EEjA&s
77;Glenn Murray;22;NULL;NULL;95;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk5ZPeJGHxa_UV2IHbXnIZUgYetEpQDZ0xjmzqmyfBW08nzuCxQLZ2h_Fesg&s
78;Gonzalo Higuain;24;41;41;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcaxyPMZQj-e2E93XPURMnGAK_yzWKYkUiKZfVjMkQ1OAfuz5Dxw6DpgU5CA&s
79;Gregoire Defrel;24;76;NULL;76;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeUqghiNqnCgsCBr3d4IY9knMfCbcM5MlciQZTH0tv_mpd3_W3QZ60hWFbesE&s
80;Guido Burgstaller;25;84;84;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtlFlftR6nv4JKA5AFTQTh7K3z3bLeba2GlNmviE89kt-M3US0Bml3y27Lig&s
81;Gylfi Sigurdsson;26;NULL;NULL;29;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6cvQGtlEZkk4eodvqcJILRiNWx-pCLIjIoOgm3w3lOpxYUFFU_veDCSFFug&s
82;Habib Diallo;26;NULL;NULL;NULL;85;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCqr9BSepsAJOA7kPzOpA1scXQ8BQ7ZrXJ5qCbiVc7o7qcEWgKeeFUHvrTYmk&s
83;Harry Kane;32;88;NULL;88;88;88;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpZYOJNVy9pOaZYrGbZ_O7-HX2KXxB3fZGEs5KYO2QSycwIAZbwIyv4u_hfw8&s
84;Iago Aspas;22;21;21;21;21;21;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAMRMPXz_AUBjVjy8bVimG4MtWO5y_pvU6qSViSvpQ9oF6GkgSY-B8Rnmrqw&s
85;Iago Falque;26;9;9;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5nn5bOzi3fkWYO80ljdto0X8uIaX8hc9ARhvLgvpTu-7Nmt-1LobqzY-eLQ&s
86;Inaki Williams;27;NULL;NULL;11;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOcLDwCFEd6n7Iv4Lw4GdWTDY1YHDQmIhX8y0ACP4mTsCL7AekeV72sSTIl4U&s
87;Isco;29;73;NULL;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDmNgzWyr8MPD8mPxBKqHfV0SdYakliMa5GdZ8HKyyY04m-4PjGHrDOQHBLQ&s
88;Ishak Belfodil;24;NULL;NULL;39;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf3IUcFTOPzQLFzQyZ_hQ_zIpTMLIATccsT1eQgr_Qk9dg8971Y5mEYi3OkQ&s
89;Islam Slimani;22;NULL;NULL;NULL;49;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjPPWU64gfwsFZ9lpsZVnH9zqOaOkWrChXzkqeLVZXvgjPPyESQsmvwnPNeA&s
90;Ivan Perisic;27;NULL;42;NULL;NULL;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQo2r7ODudYK7mWEXjZ_HvoAcX90u24fSTLd6eKo_R2pfxQIdua11-fFovGkA&s
91;Jadon Sancho;26;NULL;NULL;25;25;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh5UQrCgkEhp-XIpTz_nPPs7RhcZOV49jFF3WS9bJwC51yiY-tpDNhk1dTuns&s
92;Jaime Mata;24;NULL;NULL;34;34;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7Zv33gYFhjL0xfgvcg2VLwKVIQWU_LYjD5IFt6dEYyZhLt1f1n-mzRNn-Kg&s
93;James Ward-Prowse;24;NULL;NULL;NULL;NULL;82;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOlJJAjTR5347tvRjlfz7gSM8zyZpKQDLVNbxf2a9cc5B0yXiabbEnthR4Y-k&s
94;Jamie Vardy;28;49;NULL;49;49;NULL;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjE4VbyP2rtQiyg4qOrNVwy4eNeTKH8bcPPzJSHE9q4pJWxZgzHr5qs8nzxA&s
95;Jarrod Bowen;25;NULL;NULL;NULL;NULL;95;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjzdxCGWfMeZNjAN3KFVLDFBJHx3WDHK7ThTd-aHrgoKPswfwd0G367LBxE6U&s
